13:24:57.751391 config: drop-rate=0.00, max-delay=0s, seed=1
17:43:48.255962 [queue=4] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 4.7ms
17:43:48.256963 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.257969 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 3.2ms
17:43:48.257969 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.257969 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.262955 [queue=1] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.263956 [queue=1] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is dropped
17:43:48.265955 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 4ms
17:43:48.266953 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 5.1ms
17:43:48.266953 [queue=4] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 4ms
17:43:48.267958 [queue=4] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 4.4ms
17:43:48.267958 [queue=4] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.268958 [queue=5] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 500µs
17:43:48.270955 [queue=5] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 100µs
17:43:48.270955 [queue=5] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.272964 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.272964 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.273966 [queue=1] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.273966 [queue=1] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.277947 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 200µs
17:43:48.278945 [queue=1] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.279944 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 6.7ms
17:43:48.279944 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 7.8ms
17:43:48.280944 [queue=4] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 2.2ms
17:43:48.281943 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.284948 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.287953 [queue=1] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
17:43:48.288954 [queue=0] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delivered
18:16:37.224734 config: drop-rate=0.10, max-delay=10ms, seed=1
18:16:37.227741 router is listening at :3000
18:16:40.721029 [queue=1] packet #186378073, 127.0.0.1:54885 -> 127.0.0.1:80, sz=7 is delayed for 8.7ms
18:16:40.730028 [queue=0] packet #186378073, 127.0.0.1:54885 -> 127.0.0.1:80, sz=7 is delivered
18:16:40.731024 [queue=1] packet #186378073, 127.0.0.1:80 -> 127.0.0.1:54885, sz=14 is delayed for 5.9ms
18:16:40.737030 [queue=0] packet #186378073, 127.0.0.1:80 -> 127.0.0.1:54885, sz=14 is delivered
18:16:40.998857 [queue=1] packet #186378073, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 1.8ms
18:16:41.000855 [queue=0] packet #186378073, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delivered
18:16:41.002855 [queue=0] packet #186378073, 127.0.0.1:54885 -> 127.0.0.1:83, sz=46 is dropped
18:16:41.503549 [queue=1] packet #186378073, 127.0.0.1:83 -> 127.0.0.1:54885, sz=7 is delayed for 5.6ms
18:16:41.509545 [queue=0] packet #186378073, 127.0.0.1:83 -> 127.0.0.1:54885, sz=7 is delivered
18:16:41.509545 [queue=1] packet #186378073, 127.0.0.1:54885 -> 127.0.0.1:83, sz=46 is delayed for 9.4ms
18:16:41.519543 [queue=0] packet #186378073, 127.0.0.1:54885 -> 127.0.0.1:83, sz=46 is delivered
18:16:42.021235 [queue=1] packet #186378074, 127.0.0.1:83 -> 127.0.0.1:54885, sz=7 is delayed for 6.2ms
18:16:42.028231 [queue=0] packet #186378074, 127.0.0.1:83 -> 127.0.0.1:54885, sz=7 is delivered
18:16:42.028231 [queue=1] packet #186378074, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delayed for 2.8ms
18:16:42.031232 [queue=0] packet #186378074, 127.0.0.1:54885 -> 127.0.0.1:83, sz=7 is delivered
18:16:42.031232 [queue=1] packet #186378074, 127.0.0.1:83 -> 127.0.0.1:54885, sz=11 is delayed for 1.1ms
18:16:42.033216 [queue=0] packet #186378074, 127.0.0.1:83 -> 127.0.0.1:54885, sz=11 is delivered
18:16:42.037216 [queue=1] packet #186378075, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 3.7ms
18:16:42.037216 [queue=2] packet #186378076, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 9.5ms
18:16:42.037216 [queue=3] packet #186378077, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 2.8ms
18:16:42.037216 [queue=4] packet #186378078, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 4.7ms
18:16:42.037216 [queue=5] packet #186378079, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 8.7ms
18:16:42.038213 [queue=6] packet #186378080, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 9ms
18:16:42.038213 [queue=7] packet #186378081, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 4.1ms
18:16:42.038213 [queue=7] packet #186378082, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is dropped
18:16:42.039213 [queue=8] packet #186378083, 127.0.0.1:83 -> 127.0.0.1:54885, sz=1004 is delayed for 3.1ms
